Threads,Matrix Size,Execution time parallel,Execution time normal,Speedup
2,1024,0.41,0.55,1.341463415
4,1024,0.28,0.68,2.428571429
8,1024,0.16,0.51,3.1875
16,1024,0.11,0.51,4.636363636
2,2048,2.66,4.5,1.691729323
4,2048,5.88,4.92,0.836734694
8,2048,0.96,4.98,5.1875
16,2048,0.61,4.96,8.131147541
2,4096,22.33,41.79,1.871473354
4,4096,13.07,43.93,3.361132364
8,4096,8.78,38.26,4.357630979
16,4096,6.57,39.23,5.97108067
2,8192,163.42,396.63,2.427059111
4,8192,96.64,374.79,3.878207781
8,8192,61.43,392.14,6.383525965
16,8192,50.58,343.89,6.798932384

